,btcusdt_close,ethusdt_close,bnbusdt_close,xrpusdt_close,adausdt_close,trxusdt_close,xlmusdt_close,neousdt_close,ltcusdt_close,eosusdt_close
btcusdt_close,0.0007235578381873144,0.0006280231265855369,0.0006215118265045225,0.0006534308073624885,0.0008409415333390305,0.00047114511677324316,0.0006225285306003484,0.000891206641186283,0.0007185043683048572,0.0009256415846229697
ethusdt_close,0.0006280231265855369,0.0011945013990752875,0.0008300299669080241,0.000844991958559796,0.0010805817089980987,0.0006187002754585414,0.0008090978146393623,0.0011442099809816743,0.0009437754567903851,0.0011991025166814512
bnbusdt_close,0.0006215118265045225,0.0008300299669080241,0.00149240565283483,0.0008433391729048406,0.0011132619816243967,0.0006205854062644291,0.0008058978646597103,0.001156267795794353,0.0009939310435509775,0.0012468479294008427
xrpusdt_close,0.0006534308073624885,0.000844991958559796,0.0008433391729048406,0.0013973971527808104,0.0011647126769309475,0.000660602332516673,0.0009086006296211702,0.0012251906458811026,0.0009842314353161353,0.00128489272628851
adausdt_close,0.0008409415333390305,0.0010805817089980987,0.0011132619816243967,0.0011647126769309475,0.0022699731471954024,0.0008355819869453284,0.0011195248343160479,0.0015875945549295683,0.0012504720492100534,0.0016382875746106535
trxusdt_close,0.00047114511677324316,0.0006187002754585414,0.0006205854062644291,0.000660602332516673,0.0008355819869453284,0.0007558263366381907,0.0006381285389184777,0.0009030898529896402,0.0007045320177003736,0.0009241105716407544
xlmusdt_close,0.0006225285306003484,0.0008090978146393623,0.0008058978646597103,0.0009086006296211702,0.0011195248343160479,0.0006381285389184777,0.0012767966657639127,0.0011662054304416515,0.0009386777459467053,0.0012242032618952165
neousdt_close,0.0008912066411862829,0.0011442099809816743,0.001156267795794353,0.0012251906458811026,0.0015875945549295683,0.0009030898529896402,0.0011662054304416515,0.0025788178324775424,0.0013040761216813177,0.0017528859894775308
ltcusdt_close,0.0007185043683048572,0.0009437754567903851,0.0009939310435509775,0.000984231435316135,0.0012504720492100534,0.0007045320177003736,0.0009386777459467053,0.0013040761216813177,0.0016544216309422046,0.0014076506804217054
eosusdt_close,0.0009256415846229697,0.0011991025166814512,0.0012468479294008427,0.0012848927262885097,0.0016382875746106535,0.0009241105716407544,0.0012242032618952165,0.0017528859894775308,0.0014076506804217054,0.002721315654302059
